,pearson
ENSG00000153498,
ENSG00000168827,0.4172242547975979
ENSG00000197563,0.32663786842259634
ENSG00000204991,0.2586751584153704
ENSG00000155393,0.686397002764324
ENSG00000177663,0.352408914705588
ENSG00000104979,0.20224541160685816
ENSG00000104413,-0.010666715427376221
ENSG00000012822,0.015398502803526719
ENSG00000204010,0.014772332106777614
ENSG00000261603,0.13272827411981508
ENSG00000005981,0.12595479395396286
ENSG00000114204,0.19565638967604962
ENSG00000153936,0.2606869498752332
ENSG00000114395,-0.017129118914043215
ENSG00000170049,0.16104867099654543
ENSG00000172379,0.030690994992441184
ENSG00000112592,0.037651625358160294
ENSG00000177359,0.21910662553451887
ENSG00000170871,-0.006124582851317022
ENSG00000205864,-0.04029576244221181
ENSG00000142920,0.14461025780299294
ENSG00000106009,0.0687402496180441
ENSG00000117461,0.17975338047478367
ENSG00000107581,-0.08327559280438307
ENSG00000203811,-0.0538198619144311
ENSG00000184454,0.3328837606301579
ENSG00000145934,-0.08488344452050667
ENSG00000198561,
ENSG00000100129,-0.018349063420159947
ENSG00000165181,-0.04288079232125597
ENSG00000167740,0.04679197073276398
ENSG00000140993,0.20062408918645047
ENSG00000197863,0.04172336563537997
ENSG00000007168,0.05354791012662036
ENSG00000143033,-0.07431714359022383
ENSG00000138834,0.061030079003412945
ENSG00000196588,0.06611235216430278
ENSG00000020129,0.1733348104792591
ENSG00000253719,0.11081469971643697
ENSG00000188811,0.04600214004605878
ENSG00000168811,0.13498950752964578
ENSG00000175040,0.08637232446941129
ENSG00000145425,0.09376609091104476
ENSG00000204501,
ENSG00000152495,0.18470208478674593
ENSG00000147570,-0.03423097910833244
ENSG00000092201,0.05201699196046096
ENSG00000117586,-0.07803962610094535
ENSG00000167100,0.2378808943293946
ENSG00000160710,0.09516073099830526
ENSG00000128185,0.3473113094871767
ENSG00000150756,0.10029837410413242
ENSG00000145293,0.11150482175157832
ENSG00000197249,0.00153984479760811
ENSG00000197993,-0.16187498213786633
ENSG00000089234,-0.008622158487535704
ENSG00000161914,-0.007948654139283667
ENSG00000138750,0.29387950935192914
ENSG00000143486,0.10767510142834476
ENSG00000214814,
ENSG00000102780,0.0017279085704879626
ENSG00000141219,0.09239583307569893
ENSG00000100564,0.5046239056093146
ENSG00000068308,
ENSG00000141519,0.6856474277510096
ENSG00000157680,
ENSG00000173473,-0.026056991761351456
ENSG00000149182,0.15207901325432735
ENSG00000089006,0.12332665047440532
ENSG00000066455,0.16812523607144464
ENSG00000167468,0.3429953277585537
ENSG00000183401,0.15930999982973443
ENSG00000104763,0.13771543481293494
ENSG00000179796,-0.0198511361551117
ENSG00000165905,0.086317212875723
ENSG00000196139,0.1530793140497126
ENSG00000066926,-0.03132623186709764
ENSG00000135535,0.13621343091320015
ENSG00000169194,-0.043079265485616115
ENSG00000205090,-0.023699119994614416
ENSG00000187446,0.07213071158929596
ENSG00000198915,0.015048964687985819
ENSG00000198129,
ENSG00000170445,0.2138610719074546
ENSG00000141338,-0.03380810253268962
ENSG00000011201,
ENSG00000123569,
ENSG00000121988,-0.028099776241914766
ENSG00000164983,0.20678133853272856
ENSG00000130544,
ENSG00000116991,-0.018008525482249065
ENSG00000168070,0.1359651613400029
ENSG00000175182,-0.014225250842380521
ENSG00000175792,-0.024915413464117662
ENSG00000188508,-0.021436073519726397
ENSG00000168913,0.09719881253015555
ENSG00000187664,0.17196894139846033
ENSG00000126070,-0.14745809233970955
ENSG00000143199,0.486557232087634
ENSG00000154864,0.011634094054546957
ENSG00000125851,-0.015697900142249657
ENSG00000057608,0.10841311899812163
ENSG00000128609,0.11084735610489418
ENSG00000019102,0.188477593490881
ENSG00000182261,0.07175683949529431
ENSG00000070444,0.25566679801903397
ENSG00000125841,-0.04918901213156279
ENSG00000146410,0.09441292454343839
ENSG00000141564,0.01163004325525933
ENSG00000159256,0.025002985389980505
ENSG00000165304,-0.0340613737296582
ENSG00000100033,-0.06001132974254565
ENSG00000183340,0.021410360620346465
ENSG00000165837,-0.1357287642908222
ENSG00000184226,-0.005084556503860291
ENSG00000171530,-0.0295943476257329
ENSG00000170074,0.4043311545585102
ENSG00000175745,
ENSG00000110844,-0.024304156057512634
ENSG00000243709,0.49871503296407826
ENSG00000152465,0.2185573868788942
ENSG00000175414,-0.10218383644280174
ENSG00000205277,0.13927854397126155
ENSG00000163817,-0.11205493056022775
ENSG00000108846,0.2350503692319033
ENSG00000262919,
ENSG00000146433,0.0913887923463714
ENSG00000113441,0.03235435765499231
ENSG00000134686,-0.01741316217005887
ENSG00000183833,0.03967339735816477
ENSG00000163935,0.0045882368198060615
ENSG00000196663,0.2417229202716885
ENSG00000103154,0.08096479632619508
ENSG00000102103,
ENSG00000047346,0.2793483995400779
ENSG00000126458,0.028898807417963426
ENSG00000165644,0.03072115446435169
ENSG00000107281,0.08740205368236276
ENSG00000156052,0.28093833486301006
ENSG00000095110,0.06886432307724924
ENSG00000169783,0.08565481555857474
ENSG00000175229,0.050587974243799586
ENSG00000176055,0.04909197593330332
ENSG00000123095,-0.09987505369627823
ENSG00000204560,0.19899535345070812
ENSG00000204371,-0.09464623757377412
ENSG00000174292,0.15857124698369104
ENSG00000277494,0.36693187252986365
ENSG00000077147,0.061269026843207036
ENSG00000184939,
ENSG00000102547,0.25929578292159844
ENSG00000013810,0.43185913803644316
ENSG00000159905,0.08317390038753059
ENSG00000172845,-0.023785832482404255
ENSG00000169760,-0.01640006651279764
ENSG00000173585,0.16772334419028148
ENSG00000183751,-0.10692813608859408
ENSG00000183765,0.08724154300777714
ENSG00000125775,0.30852994488440866
ENSG00000154478,0.178888715186387
ENSG00000104343,0.2238435328288919
ENSG00000164054,0.19205129742165356
ENSG00000107736,-0.03191883228892679
ENSG00000100075,0.22136513173681077
ENSG00000138772,0.06526237392727803
ENSG00000146674,0.11005173539277516
ENSG00000128710,-0.05125773282011733
ENSG00000161973,0.03881990419061252
ENSG00000206562,0.1989969791492271
ENSG00000027644,0.0835003607986234
ENSG00000115085,0.38375705194135995
ENSG00000121073,-0.006876627868265518
ENSG00000112539,0.12544231283514123
ENSG00000126952,
ENSG00000174948,0.044809354494409946
ENSG00000142731,
ENSG00000169299,0.47921170422374215
ENSG00000178645,0.07499010934713321
ENSG00000043355,
ENSG00000101442,-0.11806480307225081
ENSG00000119004,-0.04892050557185547
ENSG00000127314,-0.042234764460052546
ENSG00000141424,0.04636522791461262
ENSG00000147873,0.0103260075943661
ENSG00000178115,
ENSG00000215186,0.2303718340217619
ENSG00000130385,
ENSG00000255150,0.14325884365140223
ENSG00000129038,0.12014267175308099
ENSG00000068120,-0.007350422120066901
ENSG00000182118,0.5120702054345314
ENSG00000146233,0.007639372947530315
ENSG00000187098,-0.053883883064039316
