ensgs,train_pearson,val_pearson,test_pearson
ENSG00000106976,0.1417099601506553,0.1098405458969913,-0.0444171067060368
ENSG00000187775,0.0937752261956969,0.0353776462767432,0.0932616637654732
ENSG00000100413,0.3221603246063484,0.3577165156199234,0.3974974164330709
ENSG00000146918,0.2151054895799431,0.0004254642284416,0.11339310851957
ENSG00000186660,0.1862217567801818,0.2800287523282805,-0.1270355195350368
ENSG00000160551,0.0581155874464432,0.0518437168249579,0.1227255016580556
ENSG00000131187,0.1097586515765616,0.252932353858333,0.2494674965717027
ENSG00000181852,0.2065843541088632,0.1446591776033818,0.0305857430263331
ENSG00000104059,0.0919751758912086,-0.079384339036502,0.0869482363438443
ENSG00000197520,0.2515944417801268,0.2568554537155486,-0.0035312538843597
ENSG00000137075,0.1495807938451642,0.2459978389180449,0.0351846113409806
ENSG00000132470,0.0927062056720302,0.092051176476202,0.3172195820309522
ENSG00000163818,0.1245472274408724,0.0648297556909428,-0.0111930417977751
ENSG00000162148,0.3637276269383082,0.1367006638633813,0.0994137881450235
ENSG00000005339,0.0611028798119088,0.0468433904077973,-0.0954677161708159
ENSG00000122643,0.3695739294928187,0.4040386677541859,0.4205279749883986
ENSG00000072778,0.2472470179722211,0.0665667428177584,0.2448327313134548
ENSG00000111639,0.1973905899296806,0.0564738569719185,0.0596882164825467
ENSG00000125319,0.1000100180832724,-0.0065523658863788,-0.0290268152614013
ENSG00000159261,0.2390556189842969,0.1152419639298184,0.0091436126809732
ENSG00000185507,0.1038073085039635,0.0439642098488739,-0.0970389469965793
ENSG00000146701,0.2884652077633656,0.2027074392727299,0.2713679408973604
ENSG00000196072,0.5342505717927396,0.358366164834993,0.6884999804130401
ENSG00000165917,0.1176207620322386,0.1082008417222742,0.0274278960405951
ENSG00000155622,0.0889980708730216,0.0005419608931498,-0.0846574289782954
ENSG00000001561,0.416489537814356,0.2669171189927157,0.2846461665026327
ENSG00000105854,0.1260341213980431,-0.1261419262166503,0.1143141757745545
ENSG00000156049,0.0952549887228345,-0.0671736048388546,0.0740024629715355
